qid,query,document,label
1,ما هو الذكاء الصنعي Artificial inteligence,"هو علم محاكاة الذكاء البشري من خلال تصنيف إما خوارزميات برمجية software أو hardware نمذجة للذكاء االانساني، وهو علم واسع جداً أساسه رياضي يعتمد على كيفية فهم قواعد عمل دماغ الانسان وإسقاطها على منتج له عالقة بتنظيم الكومبيوتر ويجعله قادراً على التعلم واالاستنتاج ورد الفعل على أوضاع لم تبرمج عليها الالة",4
2,ما هو الذكاء الصنعي Artificial inteligence,"إن ميزة الانسان الاساسية هي القدرة على التعلم والتطور، ومن هنا بدأت فكرة الذكاء االصطناعي، وذلك عن طريق الشبكات العصبونية، حيث تحاكي هذه الشبكات نقل السيالة العصبية عن طريق العصبونات، وتأتي أهمية هذه الشبكات بكافة مكوناتها بسبب قدرتها على التصنيف، البحث، التنبؤ",3
3,ما هو الذكاء الصنعي Artificial inteligence,يتم التعلم بدون وجود معلم حيث يقوم بتجميع الداتا إلى عدة أصناف,0
4,ما هو الذكاء الصنعي Artificial inteligence,"محاكاة الدماغ هي البحث عن بنية شبيهة ببنية الدماغ أي نأخذ الاية التي يتعلم بها الانسان ونطبقها على الالة، أن نفكر كيف يعالج الانسان المعلومات ويتطور مع الايام، كيف يتعلم الدماغ وكيف تتخزن المعرفة وكيف يتحسن الاداء بالتدريب، أن نفهم بنية الدماغ.",2
5,ما مجالات الذكاء الصنعي,"1. processing language Natural) NLP) معالجة اللغات الطبيعية: وهي مجال علوم الحاسوب واللغويات المعنية بالتفاعلات بين الحاسوب واللغات الطبيعية، أبسط مثال هو كيفية تفسير كلام الانسان وتحويله من كلام منطوق إلى كلام مكتوب أو بالعكس تحويل النص المكتوب إلى نص منطوق، وما يتلوه من  مراحل مثل: تحليل الكالم واكتشاف أنماط موجودة بالكلام والتعرف على االشخاص من الكالم.... و الكثير من  التفاصيل المتعلقة بهذا المجال.
 2. programming Automatic البرمجة الالية
3. Robotics: كلمة روبوت لا تعني فقط الروبوت الذي يشبه الانسان، بل للروبوت أشكال مختلفة، فالذراع الروبوتية الموجودة بالمعمل تدعى روبوت، والسيارة ذاتية القيادة تسمى روبوت، إذاً كلمة روبوت واسعة جداً فأي شيء ذاتي القيادة ينفذ مهمات مؤتمتة نسميه روبوت",4
6,ما مجالات الذكاء الصنعي,"محاكاة الدماغ هي البحث عن بنية شبيهة ببنية الدماغ أي نأخذ الاية التي يتعلم بها الانسان ونطبقها على الالة، أن نفكر كيف يعالج الانسان المعلومات ويتطور مع الايام، كيف يتعلم الدماغ وكيف تتخزن المعرفة وكيف يتحسن الاداء بالتدريب، أن نفهم بنية الدماغ.",0
7,ما مجالات الذكاء الصنعي,"1. Supervised learning التعلم الخاضع للاشراف
2. Unsupervised learningالتعلم الغير خاضع للاشراف 
3. Reinforcement Learningتعلم المعزز",2
8,ما هي الشبكات العصبونية Networks Network,"هي محاكاة آلية نقل السيالة العصبية إلى الدماغ أي هي محاكاة للدماغ المتحكم بجسم الانسان، فهي تساعد على اتخاذ قرار، حل مشكلات، القيام بعمليات تصنيف وتنبؤ وتعرُّف... إذاً بنية الشبكة العصبية عندما تحاكي  الدماغ بعملها فهي تحاكي وظائفه.
- الشبكات العصبونية تقنية تستخدم لتحقيق أهداف machine learning.
- هناك شبكات عصبونية بطبقة واحدة أي: دخل – معالجة – خرج، وهناك شبكات عصبونية بطبقات متعددة أي: طبقة دخل – عدّة طبقات داخلية للمعالجة – طبقة خرج (وممكن أن يكون الخرج وحيد أو متعدد).
- إذا كان هناك عدّة طبقات داخلية وأصبح هناك عمق للشبكة سُميَت بالشبكات العميقة ونتج عنها ما يسمى deep learning",4
9,ما هي الشبكات العصبونية Networks Network,"محاكاة الدماغ هي البحث عن بنية شبيهة ببنية الدماغ أي نأخذ الاية التي يتعلم بها الانسان ونطبقها على الالة، أن نفكر كيف يعالج الانسان المعلومات ويتطور مع الايام، كيف يتعلم الدماغ وكيف تتخزن المعرفة وكيف يتحسن الاداء بالتدريب، أن نفهم بنية الدماغ.",3
10,ما هي الشبكات العصبونية Networks Network,"إن ميزة الانسان الاساسية هي القدرة على التعلم والتطور، ومن هنا بدأت فكرة الذكاء االصطناعي، وذلك عن طريق الشبكات العصبونية، حيث تحاكي هذه الشبكات نقل السيالة العصبية عن طريق العصبونات، وتأتي أهمية هذه الشبكات بكافة مكوناتها بسبب قدرتها على التصنيف، البحث، التنبؤ",2
11,ما هو العصبون,"هو وحدة النقل العصبي بالدماغ وبشكل أدق كل االاعصاب هي عصبونات متصلة مع بعضها البعض. يتكون العصبون من جسم واستطالة ومشابك، وتتم المعالجة داخله حسب تخصص العصبون.",4
12,ما هو العصبون,Regressionو Classification,0
13,ما هو العصبون,"محاكاة الدماغ هي البحث عن بنية شبيهة ببنية الدماغ أي نأخذ الاية التي يتعلم بها الانسان ونطبقها على الالة، أن نفكر كيف يعالج الانسان المعلومات ويتطور مع الايام، كيف يتعلم الدماغ وكيف تتخزن المعرفة وكيف يتحسن الاداء بالتدريب، أن نفهم بنية الدماغ.",2
14,ماذا نقصد بمحاكاة الدماغ,"محاكاة الدماغ هي البحث عن بنية شبيهة ببنية الدماغ أي نأخذ الاية التي يتعلم بها الانسان ونطبقها على الالة، أن نفكر كيف يعالج الانسان المعلومات ويتطور مع الايام، كيف يتعلم الدماغ وكيف تتخزن المعرفة وكيف يتحسن الاداء بالتدريب، أن نفهم بنية الدماغ.",4
15,ماذا نقصد بمحاكاة الدماغ,"إن ميزة الانسان الاساسية هي القدرة على التعلم والتطور، ومن هنا بدأت فكرة الذكاء االصطناعي، وذلك عن طريق الشبكات العصبونية، حيث تحاكي هذه الشبكات نقل السيالة العصبية عن طريق العصبونات، وتأتي أهمية هذه الشبكات بكافة مكوناتها بسبب قدرتها على التصنيف، البحث، التنبؤ",3
16,كيف بدأت فكرة الذكاء االصطناعي,"إن ميزة الانسان الاساسية هي القدرة على التعلم والتطور، ومن هنا بدأت فكرة الذكاء االصطناعي، وذلك عن طريق الشبكات العصبونية، حيث تحاكي هذه الشبكات نقل السيالة العصبية عن طريق العصبونات، وتأتي أهمية هذه الشبكات بكافة مكوناتها بسبب قدرتها على التصنيف، البحث، التنبؤ",4
17,كيف بدأت فكرة الذكاء االصطناعي,"1. data  (الدخل والخرج)
2.  السمات (نستخلصها من الداتا) يجب أن تكون قابلة للقياس.
3. لخوارزميات (حيث يوجد خوارزميات خاصة بالتنبؤ وأخرى للتجميع..)",0
18,كيف بدأت فكرة الذكاء االصطناعي,"هو علم محاكاة الذكاء البشري من خلال تصنيف إما خوارزميات برمجية software أو hardware نمذجة للذكاء االانساني، وهو علم واسع جداً أساسه رياضي يعتمد على كيفية فهم قواعد عمل دماغ الانسان وإسقاطها على منتج له عالقة بتنظيم الكومبيوتر ويجعله قادراً على التعلم واالاستنتاج ورد الفعل على أوضاع لم تبرمج عليها الالة",3
19,ما أهمية الشبكات العصبونية,"إن ميزة الانسان الاساسية هي القدرة على التعلم والتطور، ومن هنا بدأت فكرة الذكاء االصطناعي، وذلك عن طريق الشبكات العصبونية، حيث تحاكي هذه الشبكات نقل السيالة العصبية عن طريق العصبونات، وتأتي أهمية هذه الشبكات بكافة مكوناتها بسبب قدرتها على التصنيف، البحث، التنبؤ",4
20,ما أهمية الشبكات العصبونية,"هي محاكاة آلية نقل السيالة العصبية إلى الدماغ أي هي محاكاة للدماغ المتحكم بجسم الانسان، فهي تساعد على اتخاذ قرار، حل مشكلات، القيام بعمليات تصنيف وتنبؤ وتعرُّف... إذاً بنية الشبكة العصبية عندما تحاكي  الدماغ بعملها فهي تحاكي وظائفه.
- الشبكات العصبونية تقنية تستخدم لتحقيق أهداف machine learning.
- هناك شبكات عصبونية بطبقة واحدة أي: دخل – معالجة – خرج، وهناك شبكات عصبونية بطبقات متعددة أي: طبقة دخل – عدّة طبقات داخلية للمعالجة – طبقة خرج (وممكن أن يكون الخرج وحيد أو متعدد).
- إذا كان هناك عدّة طبقات داخلية وأصبح هناك عمق للشبكة سُميَت بالشبكات العميقة ونتج عنها ما يسمى deep learning",3
21,ما أبسط شكل لفهم الرياضيات التقليدية بمنطق الشبكات العصبونية,"لتكن لدينا المعادلة التالية 0 = ax2 + bx + c ، هذه المعادلة تكافئ عصبون له مدخلين الأول x2 والثاني x وبوجد على المدخل األول وزن اسمه a وعلى المدخل الثاني وزن اسمه b وفيما بينهم إشارة جمع، ويوجد أيضا عنصر إضافي c وهو يعبر عن الانزياح، وتتم المعالجة داخل العصبون لتعطي الخرج الموافق وليكن على سبيل المثال: 1 اذا كانت المعادلة قابلة للحل و 0 اذا كانت المعاجلة غير قابلة للحل.",4
22,ما أبسط شكل لفهم الرياضيات التقليدية بمنطق الشبكات العصبونية,التعلم وتعميم تجربة التعليم انطالقاً من الخبرات السابقة المكتسبة.,0
23,ما  مراحل تعلم الالة Machine Learning,"المرحلة االاولى: تطوير نماذج إحصائية ننطلق منها التخاذ قرار. المرحلة الثانية: بناء خوارزميات عن طريق جعل الكومبيوتر ينفذ مهام دون تعليمات خارجية، فهي تقوم على مبدأ أخذ الدخل والخرج وإعطاء البرنامج على عكس البرمجة التقليدية.",4
24,ما  مراحل تعلم الالة Machine Learning,"1. data  (الدخل والخرج)
2.  السمات (نستخلصها من الداتا) يجب أن تكون قابلة للقياس.
3. لخوارزميات (حيث يوجد خوارزميات خاصة بالتنبؤ وأخرى للتجميع..)",1
25,ماذا يحتاج التعلم الالي,"1. data  (الدخل والخرج)
2.  السمات (نستخلصها من الداتا) يجب أن تكون قابلة للقياس.
3. لخوارزميات (حيث يوجد خوارزميات خاصة بالتنبؤ وأخرى للتجميع..)",4
26,ماذا يحتاج التعلم الالي,اختيار سمات منفصلة وغير متداخلة تحسن من عملية التعلم.,2
27,ماذا يحتاج التعلم الالي,"1. Supervised learning التعلم الخاضع للاشراف
2. Unsupervised learningالتعلم الغير خاضع للاشراف 
3. Reinforcement Learningتعلم المعزز",1
28,كيف تكون عملية التعلم,"للتعلم ننطلق من داتا جزئية (غير مكتملة) للحصول على البرنامج (ليس المقصود هنا بالبرنامج الكود البرمجي وإنما model رياضي أي آلية التفكير التي نتنبأ أو نصنف وفقها وهو خطوة سابقة للكود) ثم تأتي حالات ليست داخل الداتا لنستطيع تصنيفها أو التنبؤ بها، مثال: التنبؤ بالامراض",4
29,كيف تكون عملية التعلم,"المرحلة االاولى: تطوير نماذج إحصائية ننطلق منها التخاذ قرار. المرحلة الثانية: بناء خوارزميات عن طريق جعل الكومبيوتر ينفذ مهام دون تعليمات خارجية، فهي تقوم على مبدأ أخذ الدخل والخرج وإعطاء البرنامج على عكس البرمجة التقليدية.",3
30,ما الهدف الرئيسي من تعلم الالة ML,التعلم وتعميم تجربة التعليم انطالقاً من الخبرات السابقة المكتسبة.,4
31,ما الهدف الرئيسي من تعلم الالة ML,"1. Supervised learning التعلم الخاضع للاشراف
2. Unsupervised learningالتعلم الغير خاضع للاشراف 
3. Reinforcement Learningتعلم المعزز",3
32,ما الهدف الرئيسي من تعلم الالة ML,Regressionو Classification و Dimensionality Reduction و Clustering,2
33,ما الفرق بين ML والبرمجة التقليدية,"في ML دخل الكومبيوتر هو الداتا والخرج، والهدف هو الحصول على البرنامج، بينما يكون الدخل في البرمجة التقليدية هو الداتا والبرنامج، والهدف الحصول على الخرج.",4
34,ما الفرق بين ML والبرمجة التقليدية,"يتم التعلم بوجود معلم حيث قيم الخرج فيه مستمرة، يفيد في التنبؤ مثال: التنبؤ بسعر منزل وفقاً لمساحته وسعره.",0
35,ما أنواع التعلم الالي Machine learning,"1. Supervised learning التعلم الخاضع للاشراف
2. Unsupervised learningالتعلم الغير خاضع للاشراف 
3. Reinforcement Learningتعلم المعزز",4
36,ما أنواع التعلم الالي Machine learning,Regressionو Classification,2
37,ما أنواع التعلم الالي Machine learning,Dimensionality Reduction و Clustering,2
38,ما أنواع التعلم الالي Machine learning  وشرح لكل نوع منها,"1. التعلم الالي الخاضع للاشراف supervised learning: في هذا النوع يتم التعلم بوجود معلم، بمعنى آخر االنطالق من معلومات معروفة ومن خرج معروف أي ثنائية (Output - Input )موجودة، والهدف هو تطوير آلية التعلم للمقدرة على التعرف.
 يتم استخدام Data Labeled، من تطبيقاته:Regression .1 : قيم الخرج فيه مستمرة، يفيد في التنبؤ. مثال: التنبؤ بسعر منزل وفقاً لمساحته وسعره.
Classification .2 : قيم الخرج فيه متقطعة، مثال: تصنيف اإليميل إلى spam وnormal  
2. التعلم الالي الغير خاضع للاشراف unsupervised learning:  في هذا النوع ال يوجد معلم أي أن الدخل معروف لكن الخرج غير معروف، والهدف ليس التصنيف إنما البحث في الداتا عن االنماط المشتركة لتجميع المشتركين مع بعضهم البعض.
 يتم استخدام Data Unlabeled، من تطبيقاته:Dimensionality Reduction .1 : تخفيض عدد األبعاد، مثال:ً تحويل دائرة ثنائية البعد إلى مستقيم أحادي البعد.
.2 Clustering: وهو تجميع الداتا إلى عدة أصناف.
3. التعليم المعزز Reinforcement Learning:  في هذا النوع ال يكون التركيز على الداتا وإنما مراحل تنفيذ أو تطوير مسارات أو إجراءات جديدة. لا نهتم في هذا النوع كثيراً لان الشبكات العصبونية تُستخدَم في النوعين االاول والثاني.",4
39,ما أنواع التعلم الالي Machine learning  وشرح لكل نوع منها,"يتم التعلم بدون وجود معلم حيث يقوم بتخفيض عدد الابعاد، مثال:ً تحويل دائرة ثنائية البعد إلى مستقيم أحادي البعد",0
40,ما تطبيقات التعلم الالي الخاضع للاشراف,Regressionو Classification,4
41,ما تطبيقات التعلم الالي الخاضع للاشراف,"يتم التعلم بوجود معلم حيث قيم الخرج فيه مستمرة، يفيد في التنبؤ مثال: التنبؤ بسعر منزل وفقاً لمساحته وسعره.",2
42,ما تطبيقات التعلم الالي الخاضع للاشراف,"يتم التعلم بوجود معلم حيث قيم الخرج فيه متقطعة، مثال: تصنيف اإليميل إلى spam و normal",2
43,ما تطبيقات التعلم الالي الغير خاضع للاشراف,Dimensionality Reduction و Clustering,4
44,ما تطبيقات التعلم الالي الغير خاضع للاشراف,"يتم التعلم بدون وجود معلم حيث يقوم بتخفيض عدد الابعاد، مثال:ً تحويل دائرة ثنائية البعد إلى مستقيم أحادي البعد",2
45,ما تطبيقات التعلم الالي الغير خاضع للاشراف,يتم التعلم بدون وجود معلم حيث يقوم بتجميع الداتا إلى عدة أصناف,1
46,ما  المقصود ب Regression,"يتم التعلم بوجود معلم حيث قيم الخرج فيه مستمرة، يفيد في التنبؤ مثال: التنبؤ بسعر منزل وفقاً لمساحته وسعره.",4
47,ما  المقصود ب Regression," في هذا النوع يتم التعلم بوجود معلم، بمعنى آخر الانطلاق من معلومات معروفة ومن خرج معروف أي ثنائية موجودة، والهدف هو تطوير آلية التعلم للمقدرة على التعرف",2
48,ما  المقصود ب Regression,Regressionو Classification,0
49,ما  المقصود ب classification,"يتم التعلم بوجود معلم حيث قيم الخرج فيه متقطعة، مثال: تصنيف اإليميل إلى spam و normal",4
50,ما  المقصود ب classification,Regressionو Classification,0
51,ما  المقصود ب classification," في هذا النوع يتم التعلم بوجود معلم، بمعنى آخر الانطلاق من معلومات معروفة ومن خرج معروف أي ثنائية موجودة، والهدف هو تطوير آلية التعلم للمقدرة على التعرف",2
52,ما هو Dimensionality Reduction,"يتم التعلم بدون وجود معلم حيث يقوم بتخفيض عدد الابعاد، مثال:ً تحويل دائرة ثنائية البعد إلى مستقيم أحادي البعد",4
